internship_id,Date,Time,profile,company,Location,Min Stipend,Max Stipend,Duration,Apply by Date,Education,Skills,Perks,Number of Skills,Number of Perks
2025WSHP1263,9/27/2025,22:32:11,Tech,InstaWeb Labs Private Limited,Mumbai,8000,16000,26,Unknown,Unknown,"Digital Marketing, Marketing, Sales","Certificate, Flexible, Letter Of Recommendation",3,3
2025WSHP1264,9/21/2025,15:18:33,Exclude,Aadi Foundation,Work from home,4000,12500,2,14 October 2025,Unknown,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written)","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",3,4
2025WSHP1265,9/27/2025,23:19:53,Tech,Tisteps Private Limited,Chennai,20000,30000,26,15 October 2025,Unknown,"HTML, JavaScript, Node.js, React, React Native, Redux, REST API","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",7,4
2025WSHP1266,9/27/2025,22:29:13,Creative,Art Of Tech Consulting,Mumbai,5000,6000,17,2 October 2025,Unknown,"Content Writing, Creative Writing, Digital Marketing, English Proficiency (Written), Instagram Marketing, LinkedIn Marketing, Search Engine Optimization (SEO)","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",7,4
2025WSHP1267,9/27/2025,20:31:55,Tech,Tisteps Private Limited,Chennai,30000,40000,26,5 November 2025,Unknown,"ANSYS, Catia, MATLAB, SolidWorks","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",4,4
2025WSHP1268,9/27/2025,23:20:34,Others,Tisteps Private Limited,Chennai,20000,25000,26,3 October 2025,Unknown,"Automation, Cypress, Manual Testing, Selenium","Certificate, Flexible, 5 Days A Week",4,3
2025WSHP1269,9/21/2025,16:00:50,Exclude,Esmo Apparels Private Limited,Work from home,0,0,13,Unknown,Other,"Digital Marketing, English Proficiency (Spoken), Influencer Marketing, Social Media Marketing","Certificate, Flexible",4,2
2025WSHP1270,9/27/2025,21:03:57,Sales,Bondbazaar,Delhi,5000,12500,9,25 October 2025,Unknown,"Effective Communication, Time Management","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",2,4
2025WSHP1271,9/27/2025,22:30:02,Creative,Pinnacle Management & Utility Services,Thane,6000,12000,26,8 October 2025,Post-Graduate,"Adobe Illustrator, Adobe Premiere Pro, CorelDRAW, English Proficiency (Spoken), English Proficiency (Written), Event Management, Graphic Design, MS-Excel","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",8,4
2025WSHP1272,9/27/2025,22:07:36,Sales,Axon Consulting Services,Ghaziabad,6000,20000,26,Unknown,Unknown,"Accounting, Accounting Software, MS-Excel, Tally, Taxation","Certificate, Letter Of Recommendation",5,2
2025WSHP1273,9/27/2025,21:59:14,Sales,Naitryon,Delhi,20000,65000,17,1 October 2025,Unknown,"Business Development, Community Management, Creative Thinking, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Lead Generation, Marketing Strategies","Certificate, Letter Of Recommendation, 5 Days A Week",8,3
2025WSHP1274,9/21/2025,15:26:46,Others,Pawzz,Work from home,1500,15000,3,11 October 2025,Unknown,"Business Analysis, Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Marketing, Marketing Campaigns","Certificate, Flexible, Letter Of Recommendation",8,3
2025WSHP1275,9/21/2025,14:39:41,Creative,Xsoln,Jaipur,5000,8000,17,Unknown,Unknown,"Digital Marketing, Facebook Ads, Facebook Marketing, Instagram Ads, Instagram Marketing, Search Engine Optimization (SEO), Social Media Marketing",Certificate,7,1
2025WSHP1276,9/27/2025,22:04:10,Creative,Mangalam Couture,Delhi,4000,5000,13,Unknown,Unknown,"Content Marketing, Creative Thinking, Fashion Designing, Fashion Styling, Graphic Design","Certificate, Flexible, Letter Of Recommendation",5,3
2025WSHP1277,9/27/2025,22:55:55,Creative,LOTMOR Brands Private Limited,Mumbai,5000,8000,13,9 October 2025,Unknown,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",4,4
2025WSHP1278,9/28/2025,9:59:43,Creative,BrandMatterz,Pune,9000,12000,13,9 October 2025,Unknown,"Branding, Copywriting, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Public Relations, Social Media Marketing","Certificate, Letter Of Recommendation",8,2
2025WSHP1279,9/27/2025,21:42:02,Others,ITGS Infotech Private Limited,Delhi,10000,15000,4,10 October 2025,Unknown,"Business Development, Business Management, Customer Acquisition, Customer Support, Digital Marketing, Effective Communication, English Proficiency (Written), Operations","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",8,4
2025WSHP1280,9/27/2025,20:50:59,Others,JPL Legal,Delhi,0,0,26,22 October 2025,Unknown,"MS-Office, MS-Word","Certificate, Letter Of Recommendation",2,2
2025WSHP1281,9/28/2025,9:57:03,Tech,EzyEV Technologies Private Limited,Pune,10000,15000,13,15 October 2025,Post-Graduate,"Apache Kafka, APIs, Microservices, Node.js, React Native, TypeScript","Certificate, Letter Of Recommendation",6,2
